session_id,source_group,arc_cluster,returned
Human_Astro::conversation_3292393_4042.csv::s3,baseline_returned,2,True
Human_Astro::conversation_3292393_4042.csv::s4,baseline_returned,3,True
Human_Astro::conversation_3292393_4042.csv::s5,baseline_returned,0,True
Human_Astro::conversation_3292393_4042.csv::s6,baseline_returned,2,True
Human_Astro::conversation_3292393_4042.csv::s7,baseline_returned,2,True
Human_Astro::conversation_3292393_4042.csv::s8,baseline_returned,0,True
Human_Astro::conversation_3308505_2019.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s10,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s11,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s12,baseline_returned,0,True
Human_Astro::conversation_3308505_2019.csv::s14,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s15,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s16,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s17,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s18,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s19,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s20,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s21,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s3,baseline_returned,2,True
Human_Astro::conversation_3308505_2019.csv::s4,baseline_returned,0,True
Human_Astro::conversation_3308505_2019.csv::s5,baseline_returned,2,True
Human_Astro::conversation_3308505_2019.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3308505_2019.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s10,baseline_returned,3,True
Human_Astro::conversation_3308505_4010.csv::s11,baseline_returned,0,True
Human_Astro::conversation_3308505_4010.csv::s12,baseline_returned,2,True
Human_Astro::conversation_3308505_4010.csv::s13,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s2,baseline_returned,2,True
Human_Astro::conversation_3308505_4010.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s4,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3308505_4010.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3355731_1117.csv::s1,baseline_returned,3,True
Human_Astro::conversation_3355731_1117.csv::s10,baseline_returned,1,True
Human_Astro::conversation_3355731_1117.csv::s11,baseline_returned,2,True
Human_Astro::conversation_3355731_1117.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3355731_1117.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3355731_1117.csv::s4,baseline_returned,1,True
Human_Astro::conversation_3355731_1117.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3355731_1117.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3355731_1117.csv::s7,baseline_returned,3,True
Human_Astro::conversation_3355731_1117.csv::s8,baseline_returned,0,True
Human_Astro::conversation_3355731_1117.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3371122_1117.csv::s1,baseline_returned,0,True
Human_Astro::conversation_3371122_1117.csv::s10,baseline_returned,1,True
Human_Astro::conversation_3371122_1117.csv::s11,baseline_returned,1,True
Human_Astro::conversation_3371122_1117.csv::s12,baseline_returned,1,True
Human_Astro::conversation_3371122_1117.csv::s2,baseline_returned,3,True
Human_Astro::conversation_3371122_1117.csv::s3,baseline_returned,3,True
Human_Astro::conversation_3371122_1117.csv::s4,baseline_returned,1,True
Human_Astro::conversation_3371122_1117.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3371122_1117.csv::s6,baseline_returned,2,True
Human_Astro::conversation_3371122_1117.csv::s7,baseline_returned,3,True
Human_Astro::conversation_3371122_1117.csv::s8,baseline_returned,3,True
Human_Astro::conversation_3371122_1117.csv::s9,baseline_returned,1,True
Human_Astro::conversation_3385183_546.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3385183_546.csv::s10,baseline_returned,1,True
Human_Astro::conversation_3385183_546.csv::s11,baseline_returned,2,True
Human_Astro::conversation_3385183_546.csv::s2,baseline_returned,0,True
Human_Astro::conversation_3385183_546.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3385183_546.csv::s4,baseline_returned,3,True
Human_Astro::conversation_3385183_546.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3385183_546.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3385183_546.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3385183_546.csv::s9,baseline_returned,3,True
Human_Astro::conversation_3395760_1031.csv::s1,baseline_returned,0,True
Human_Astro::conversation_3395760_1031.csv::s10,baseline_returned,2,True
Human_Astro::conversation_3395760_1031.csv::s11,baseline_returned,1,True
Human_Astro::conversation_3395760_1031.csv::s12,baseline_returned,1,True
Human_Astro::conversation_3395760_1031.csv::s13,baseline_returned,1,True
